,red,blue,actual,ai,ai_err,bookies,bookies_err,delta
152,Diego Sanchez,Jim Miller,1,0.0620814859867096,0.9379185140132904,0.3846153846153847,0.6153846153846153,0.3225338986286751
153,Jim Miller,Clay Guida,1,0.04537668824195862,0.9546233117580414,0.5833333333333334,0.4166666666666666,0.5379566450913748
154,Jim Miller,Thiago Alves,1,0.05533154681324959,0.9446684531867504,0.425531914893617,0.5744680851063829,0.3702003680803673
155,Gerald Meerschaert,Ryan Janes,1,0.28752830624580383,0.7124716937541962,0.75,0.25,0.4624716937541962
156,Scott Holtzman,Alan Patrick,1,3.801880211540265e-06,0.9999961981197883,0.2777777777777778,0.7222222222222222,0.27777397589756625
157,Scott Holtzman,Darrell Horcher,1,0.00010579553782008588,0.99989420446218,0.5918367346938775,0.4081632653061225,0.5917309391560575
158,Scott Holtzman,Dong Hyun Ma,1,0.00023009149299468837,0.9997699085070052,0.7959183673469387,0.2040816326530613,0.7956882758539441
159,Scott Holtzman,Michael McBride,1,0.00618983618915081,0.9938101638108492,0.7368421052631579,0.2631578947368421,0.7306522690740072
160,Mickey Gall,George Sullivan,1,0.00012160025653429328,0.9998783997434656,0.7647058823529411,0.2352941176470589,0.7645842820964068
161,Antonina Shevchenko,Lucie Pudilova,1,0.38566708564758295,0.614332914352417,0.6153846153846154,0.3846153846153846,0.2297175297370325
162,Justin Lawrence,Max Holloway,0,0.8902889490127563,0.8902889490127563,0.4,0.4,0.4902889490127563
165,Bruno Santos,Krzysztof Jotko,0,0.999984622001648,0.999984622001648,0.701492537313433,0.701492537313433,0.29849208468821503
166,Deiveson Figueiredo,Joseph Morales,1,0.315694272518158,0.684305727481842,0.4761904761904761,0.523809523809524,0.1604962036723181
169,Urijah Faber,Brad Pickett,1,0.15735702216625214,0.8426429778337479,0.7727272727272727,0.2272727272727273,0.6153702505610206
170,Urijah Faber,Frankie Saenz,1,0.3538443446159363,0.6461556553840637,0.8305084745762712,0.1694915254237288,0.4766641299603349
171,Urijah Faber,Ricky Simon,1,0.0005052390624769032,0.9994947609375232,0.23809523809523805,0.7619047619047621,0.23758999903276115
172,Andre Fili,Myles Jury,1,0.38680991530418396,0.613190084695816,0.43478260869565216,0.5652173913043479,0.04797269339146815
173,Godofredo Pepey,Andre Fili,1,0.009667298756539822,0.9903327012434602,0.273972602739726,0.726027397260274,0.2643053039831862
174,Benito Lopez,Vince Morales,1,0.38566708564758295,0.614332914352417,0.5121951219512195,0.4878048780487805,0.12652803630363654
175,Arnold Allen,Yaotzin Meza,1,0.38566708564758295,0.614332914352417,0.7727272727272727,0.2272727272727273,0.38706018707968975
176,Marlon Vera,Ning Guangyou,1,0.03008201532065868,0.9699179846793412,0.5238095238095238,0.4761904761904762,0.4937275084888652
177,Claudia Gadelha,Cortney Casey,1,5.643114491249435e-06,0.9999943568855088,0.8214285714285714,0.1785714285714286,0.8214229283140801
178,Claudia Gadelha,Jessica Aguilar,1,0.3490050435066223,0.6509949564933777,0.8181818181818182,0.1818181818181817,0.4691767746751959
179,Claudia Gadelha,Karolina Kowalkiewicz,1,0.00017810004646889863,0.9998218999535312,0.7368421052631579,0.2631578947368421,0.7366640052166891
180,Song Yadong,Vince Morales,1,0.38566708564758295,0.614332914352417,0.8461538461538461,0.15384615384615385,0.4604867605062632
181,Francis Ngannou,Anthony Hamilton,1,0.19098754227161407,0.8090124577283859,0.8148148148148148,0.18518518518518529,0.6238272725432007
182,Francis Ngannou,Cain Velasquez,1,3.9401056710630655e-05,0.9999605989432894,0.3636363636363637,0.6363636363636362,0.36359696257965307
183,Francis Ngannou,Junior Dos Santos,1,0.00010126331471838056,0.9998987366852816,0.6875,0.3125,0.6873987366852816
184,Francis Ngannou,Luis Henrique,1,1.7224139128302345e-06,0.9999982775860872,0.5833333333333334,0.4166666666666666,0.5833316109194205
185,Joseph Benavidez,Henry Cejudo,1,0.0952833890914917,0.9047166109085084,0.6666666666666665,0.3333333333333335,0.5713832775751748
187,Joseph Benavidez,Jussier Formiga,1,0.0319463424384594,0.9680536575615406,0.878048780487805,0.12195121951219501,0.8461024380493456
188,Joseph Benavidez,Zach Makovsky,1,0.10946092754602432,0.8905390724539757,0.8076923076923077,0.1923076923076923,0.6982313801462834
189,Jussier Formiga,Joseph Benavidez,0,0.9659356474876404,0.9659356474876404,0.4878048780487805,0.4878048780487805,0.4781307694388599
190,Demian Maia,Carlos Condit,1,8.358762715943158e-05,0.9999164123728406,0.4651162790697674,0.5348837209302326,0.465032691442608
191,Demian Maia,Neil Magny,1,0.009208440780639648,0.9907915592193604,0.7058823529411765,0.2941176470588235,0.6966739121605369
192,Demian Maia,Ryan LaFlare,1,0.0002817809581756592,0.9997182190418245,0.5121951219512195,0.4878048780487805,0.5119133409930439
193,Jon Fitch,Demian Maia,0,0.973995566368103,0.973995566368103,0.6309963099630996,0.6309963099630996,0.3429992564050034
194,Tyron Woodley,Demian Maia,1,0.3464581370353699,0.6535418629646301,0.6875,0.3125,0.3410418629646301
196,Dan Ige,Jordan Griffin,1,4.7956018534023315e-06,0.9999952043981466,0.6226415094339622,0.37735849056603776,0.6226367138321088
198,Michael Trizano,Luis Pena,1,0.000276976905297488,0.9997230230947024,0.4081632653061225,0.5918367346938775,0.407886288400825
203,Tony Ferguson,Michael Johnson,0,0.9981315135955808,0.9981315135955808,0.7590361445783133,0.7590361445783133,0.2390953690172677
204,Raphael Assuncao,Aljamain Sterling,1,0.3367418050765991,0.6632581949234009,0.5918367346938775,0.4081632653061225,0.2550949296172784
205,Calvin Kattar,Chris Fishgold,1,0.13524356484413147,0.8647564351558685,0.6666666666666665,0.3333333333333335,0.5314231018225349
206,Makwan Amirkhani,Chris Fishgold,1,0.0008769132546149192,0.9991230867453852,0.5652173913043478,0.4347826086956522,0.5643404780497329
207,Makwan Amirkhani,Masio Fullen,1,0.0028311884962022305,0.9971688115037978,0.7222222222222221,0.2777777777777779,0.7193910337260199
208,Leonardo Santos,Adriano Martins,1,0.2783803343772888,0.7216196656227112,0.3636363636363637,0.6363636363636362,0.08525602925907487
209,Leonardo Santos,Anthony Rocco Martin,1,2.4987863866954285e-07,0.9999997501213612,0.4166666666666667,0.5833333333333333,0.41666641678802796
210,Leonardo Santos,Kevin Lee,1,0.06300439685583115,0.9369956031441689,0.17391304347826084,0.8260869565217391,0.11090864662242968
211,William Patolino,Leonardo Santos,0,0.9948135614395142,0.9948135614395142,0.4166666666666667,0.4166666666666667,0.5781468947728474
212,Sergio Moraes,Davi Ramos,1,0.3648135960102081,0.6351864039897919,0.6666666666666665,0.3333333333333335,0.30185307065645844
213,Santiago Ponzinibbio,Zak Cummings,1,0.03039061464369297,0.969609385356307,0.5238095238095238,0.4761904761904762,0.4934189091658309
214,Zak Cummings,Trevin Giles,1,0.03294873237609863,0.9670512676239014,0.3703703703703704,0.6296296296296295,0.3374216379942718
215,Marcio Alexandre Junior,Warlley Alves,0,0.9442511200904846,0.9442511200904846,0.3508771929824561,0.3508771929824561,0.5933739271080285
217,Donald Cerrone,Alex Oliveira,1,0.249598890542984,0.750401109457016,0.7297297297297297,0.2702702702702703,0.4801308391867457
218,Donald Cerrone,Benson Henderson,1,4.0718867239775136e-05,0.9999592811327602,0.4444444444444444,0.5555555555555556,0.44440372557720464
220,Robbie Lawler,Donald Cerrone,1,0.00861668586730957,0.9913833141326904,0.6078431372549019,0.3921568627450981,0.5992264513875923
221,Claudio Silva,Nordine Taleb,1,0.22016865015029907,0.7798313498497009,0.2352941176470588,0.7647058823529412,0.015125467496759719
222,Arjan Bhullar,Juan Adams,1,0.38566708564758295,0.614332914352417,0.4651162790697674,0.5348837209302326,0.07944919342218443
