First,Last,Nickname,Stance,Win,Loss,Draw,Total Fights,Weight_numeric,Height_cm
Anton,Kuivanen,,Orthodox,17,6,0,23,155,172.72
George,Sullivan,The Silencer,Orthodox,17,6,0,23,170,182.88
Thiago,Santos,Marreta,Orthodox,17,6,0,23,185,182.88
Brad,Tavares,,Orthodox,17,6,0,23,185,185.42
Yukiya,Naito,,Orthodox,15,6,2,23,205,185.42
Josh,Pulsifer,The Platypus,,16,7,0,23,145,177.8
Matt,Wiman,,Orthodox,16,7,0,23,155,177.8
Tarec,Saffiedine,Sponge,Switch,16,7,0,23,170,177.8
David,Heath,,Orthodox,16,7,0,23,205,180.34
John,Halverson,The Hurricane,Southpaw,16,7,0,23,155,175.26
Rob,Broughton,The Bear,,15,7,1,23,265,187.96
Eric,Schafer,Red,Orthodox,14,7,2,23,185,190.5
Assuerio,Silva,,Orthodox,15,8,0,23,265,177.8
Paulo,Thiago,,Orthodox,15,8,0,23,170,180.34
John,Kolosci,,Orthodox,15,8,0,23,185,180.34
Josh,Diekmann,The Freight Train,,15,8,0,23,265,162.56
Anistavio,Medeiros,Gasparzinho,Orthodox,15,8,0,23,145,167.64000000000001
Russell,Doane,,Orthodox,15,8,0,23,135,170.18
Sam,Sicilia,,Orthodox,15,8,0,23,145,172.72
Abel,Trujillo,Killa,Orthodox,15,8,0,23,155,172.72
Donny,Walker,Eagle Eye,,15,8,0,23,135,175.26
Kyle,Bradley,,Orthodox,15,8,0,23,155,175.26
Milton,Vieira,Miltinho,Orthodox,13,8,2,23,145,182.88
Jeremy,Kimball,Grizzly,Switch,15,8,0,23,205,182.88
Ryan,Jensen,,Orthodox,15,8,0,23,185,185.42
Murilo,Bustamante,,Orthodox,14,8,1,23,183,187.96
Matt,Andersen,,Southpaw,14,8,1,23,265,187.96
Trevor,Smith,Hot Sauce,Orthodox,15,8,0,23,185,190.5
Dominique,Steele,Non-Stop Action-Packed,Orthodox,14,9,0,23,170,177.8
Jorge,Gurgel,,Orthodox,14,9,0,23,155,170.18
Jared,Papazian,The Jackhammer,Southpaw,14,9,0,23,135,172.72
Ian,Loveland,The Barn Owl,Orthodox,14,9,0,23,145,172.72
Uriah,Hall,Prime Time,Orthodox,14,9,0,23,185,182.88
Carlos,Barreto,,Orthodox,14,9,0,23,265,193.04
Justin,Robbins,,,12,10,1,23,135,165.1
Kendall,Grove,Da Spyder,Orthodox,13,10,0,23,185,198.12
Shungo,Oyama,,Southpaw,10,13,0,23,185,180.34
Claudionor,Fontinelle,,Orthodox,9,13,1,23,185,165.1
Kaleo,Kwan,Leo Boy,,10,13,0,23,155,170.18
Bobby,Sanchez,The Kid,Orthodox,6,17,0,23,155,170.18
Dominick,Cruz,The Dominator,Orthodox,22,2,0,24,135,172.72
Goiti,Yamauchi,,,21,3,0,24,145,177.8
Conor,McGregor,The Notorious,Southpaw,21,3,0,24,170,175.26
Eduardo,Dantas,Dudu,,20,4,0,24,135,177.8
Alex,Perez,,Orthodox,20,4,0,24,125,167.64000000000001
Leandro,Silva,Buscape,Orthodox,19,4,1,24,155,175.26
Tomasz,Drwal,Gorilla,Orthodox,19,4,1,24,205,185.42
Tommy,Speer,,Orthodox,19,5,0,24,170,177.8
Elizeu,Zaleski dos Santos,Capoeira,Orthodox,19,5,0,24,170,180.34
Jason,Brilz,Hitman,Orthodox,18,5,1,24,205,180.34
Willamy,Freire,Chiquerim,,19,5,0,24,155,172.72
Israel,Giron,El Rojo,,19,5,0,24,155,172.72
Jason,High,The Kansas City Bandit,Southpaw,19,5,0,24,155,172.72
Joe,Slick,,Orthodox,16,5,3,24,199,182.88
Oleg,Taktarov,The Russian Bear,Orthodox,17,5,2,24,265,182.88
Ryan,Jimmo,The Big Deal,Orthodox,19,5,0,24,205,185.42
Wes,Combs,The Soldier,Orthodox,19,5,0,24,205,187.96
Junior,Dos Santos,Cigano,Orthodox,19,5,0,24,265,193.04
Jessica,Andrade,Bate Estaca,Orthodox,18,6,0,24,115,154.94
Tim,Kennedy,,Orthodox,18,6,0,24,185,180.34
Norifumi,Yamamoto,Kid,Southpaw,18,6,0,24,135,162.56
Abel,Cullum,The Silent Assassin,Orthodox,18,6,0,24,139,170.18
Alexandre,Ferreira,Cacareco,Orthodox,18,6,0,24,205,170.18
Robert,Peralta,Problems,Orthodox,18,6,0,24,145,172.72
John,Maguire,The One,Southpaw,18,6,0,24,155,175.26
Angel,De Anda,The Dream,Orthodox,18,6,0,24,265,175.26
Peter,Sobotta,,Southpaw,17,6,1,24,170,182.88
Derek,Brunson,,Southpaw,18,6,0,24,185,185.42
Ron,Waterman,H20,Orthodox,16,6,2,24,300,187.96
Danny,Navarro,,,17,7,0,24,155,177.8
Gabe,Ruediger,Godzilla,Orthodox,17,7,0,24,155,177.8
Flavio Luiz,Moura,,Open Stance,17,7,0,24,183,180.34
Ben,Nguyen,Ten,Switch,17,7,0,24,125,165.1
Mike,Pierce,,Orthodox,17,7,0,24,170,172.72
Alan,Belcher,The Talent,Orthodox,17,7,0,24,185,187.96
Tor,Troeng,The Hammer,Orthodox,16,7,1,24,185,187.96
Lavar,Johnson,Big,Orthodox,17,7,0,24,265,193.04
James,Terry,Intensity,Orthodox,16,8,0,24,170,177.8
Seohee,Ham,,Southpaw,16,8,0,24,115,157.48000000000002
Daron,Cruickshank,Detroit Superstar,Switch,16,8,0,24,155,172.72
Victor,Valimaki,The Matrix,Orthodox,16,8,0,24,205,182.88
Jesse,Juarez,,Orthodox,16,8,0,24,170,185.42
Chris,Wilson,The Professor,Orthodox,16,8,0,24,170,185.42
Fabricio,Camoes,Morango,Orthodox,14,9,1,24,155,177.8
Daiki,Hata,DJ Taiki,Orthodox,11,9,4,24,139,167.64000000000001
Lodune,Sincaid,,Orthodox,15,9,0,24,185,175.26
Tony,Fryklund,The Freak,Orthodox,14,9,1,24,185,182.88
Kazuyuki,Fujita,Ironhead,Orthodox,15,9,0,24,265,182.88
Joey,Beltran,The Mexicutioner,Orthodox,15,9,0,24,185,185.42
James,Irvin,The Sandman,Orthodox,15,9,0,24,205,187.96
Anthony,Hamilton,Freight Train,Orthodox,15,9,0,24,265,195.57999999999998
Matt,Lee,,Orthodox,13,10,1,24,155,180.34
Justin,Davis,Dangerous,,14,10,0,24,205,180.34
Aaron,Miller,Blood Spiller,,14,10,0,24,145,175.26
Rudy,Bears,,Southpaw,13,11,0,24,170,180.34
Curtis,Stout,,Southpaw,11,12,1,24,185,185.42
Kevin,Roddy,K-Rod,,10,13,1,24,145,180.34
Wataru,Sakata,,Southpaw,11,13,0,24,195,175.26
Daiju,Takase,,Southpaw,9,13,2,24,170,182.88
Kengo,Watanabe,,Orthodox,8,13,3,24,265,193.04
Philip,Preece,,Orthodox,10,14,0,24,205,172.72
David,Abbott,Tank,Switch,10,14,0,24,265,182.88
Thomas,Almeida,Thominhas,Southpaw,22,3,0,25,135,170.18
Rustam,Khabilov,Tiger,Orthodox,22,3,0,25,155,172.72
Robert,Whittaker,The Reaper,Orthodox,21,4,0,25,185,182.88
Chris,Tuchscherer,The Crowbar,Orthodox,21,4,0,25,265,187.96
Jason,Knight,The Kid,Orthodox,20,5,0,25,145,177.8
Gadzhimurad,Antigulov,,Orthodox,20,5,0,25,205,180.34
Takeshi,Inoue,Lion,,20,5,0,25,145,172.72
Vitor,Ribeiro,Shaolin,Orthodox,20,5,0,25,154,172.72
Damian,Grabowski,The Polish Pitbull,Orthodox,20,5,0,25,265,185.42
Derrick,Lewis,The Black Beast,Orthodox,20,5,0,25,265,190.5
Edson,Barboza,Junior,Orthodox,19,6,0,25,155,180.34
Brian,Cobb,,Orthodox,19,6,0,25,155,180.34
John,Moraga,Chicano,Orthodox,19,6,0,25,125,167.64000000000001
Tonya,Evinger,Triple Threat,Orthodox,19,6,0,25,145,170.18
Clay,French,,Southpaw,19,6,0,25,161,170.18
Adrienna,Jenkins,AJ,,19,6,0,25,145,172.72
Yui Chul,Nam,The Korean Bulldozer,Orthodox,18,6,1,25,145,175.26
Derek,Campos,The Stallion,,19,6,0,25,155,175.26
Crafton,Wallace,Blaze,Orthodox,18,6,1,25,185,182.88
Will,Chope,The Kill,Switch,19,6,0,25,145,193.04
Danny,Martinez,The Gremlin,Orthodox,18,7,0,25,125,167.64000000000001
Joe,Soto,One Bad Mofo,Orthodox,18,7,0,25,135,167.64000000000001
Miesha,Tate,Cupcake,Orthodox,18,7,0,25,135,167.64000000000001
Atsushi,Yamamoto,,Orthodox,15,7,3,25,139,167.64000000000001
Mike,Richman,The Marine,,18,7,0,25,135,172.72
Ricardo,Lamas,The Bully,Orthodox,18,7,0,25,145,172.72
Dan,Hooker,The Hangman,Switch,18,7,0,25,155,182.88
Travis,Galbraith,The Gladiator,Orthodox,18,7,0,25,170,182.88
Shawn,Jordan,The Savage,Southpaw,18,7,0,25,265,182.88
Josh,Hendricks,,Southpaw,18,7,0,25,265,187.96
Adam,Lynn,,Orthodox,17,8,0,25,155,177.8
