,red,blue,actual,ai,ai_err,bookies,bookies_err
735,Jake Matthews,Johnny Case,1,0.00020096584921702745,0.999799034150783,0.4878048780487805,0.5121951219512195
736,Leandro Issa,Ulka Sasaki,1,2.4809974092931952e-06,0.9999975190025908,0.19230769230769235,0.8076923076923077
738,Taylor Lapilus,Ulka Sasaki,1,0.14473439753055573,0.8552656024694443,0.29411764705882354,0.7058823529411764
740,Ben Saunders,Dennis Hallman,0,0.55682373046875,0.55682373046875,0.75,0.75
742,Patrick Cote,Ben Saunders,1,0.010852128267288208,0.9891478717327118,0.43478260869565216,0.5652173913043479
751,Neil Magny,Seth Baczynski,0,0.7343077063560486,0.7343077063560486,0.5918367346938775,0.5918367346938775
754,Lina Lansberg,Gina Mazany,1,0.3161773681640625,0.6838226318359375,0.4166666666666667,0.5833333333333333
755,Gabriel Benitez,Clay Collard,1,0.003288965905085206,0.9967110340949148,0.31746031746031744,0.6825396825396826
757,Gabriel Benitez,Sam Sicilia,1,3.975774820474953e-09,0.9999999960242252,0.5,0.5
761,Vitor Belfort,Kelvin Gastelum,1,0.04092107713222504,0.959078922867775,0.2597402597402597,0.7402597402597403
764,John Lineker,John Dodson,1,0.3899418413639069,0.6100581586360931,0.4878048780487805,0.5121951219512195
782,Daniel Kelly,Antonio Carlos Junior,1,0.4283726811408997,0.5716273188591003,0.20618556701030927,0.7938144329896908
790,Lorenz Larkin,Brad Tavares,0,0.9352356195449828,0.9352356195449828,0.7222222222222221,0.7222222222222221
796,Yushin Okami,Tim Boetsch,0,0.96620911359787,0.96620911359787,0.8039215686274509,0.8039215686274509
801,Kajan Johnson,Tae Hyun Bang,0,0.9998704195022584,0.9998704195022584,0.6491228070175439,0.6491228070175439
807,CB Dollaway,Jared Hamman,0,0.9334392547607422,0.9334392547607422,0.7058823529411765,0.7058823529411765
817,Ilir Latifi,Tyson Pedro,1,0.0007039603660814464,0.9992960396339186,0.4545454545454545,0.5454545454545455
823,Seth Baczynski,Alan Jouban,0,0.9811111092567444,0.9811111092567444,0.6078431372549019,0.6078431372549019
825,John Makdessi,Alan Patrick,0,0.743773877620697,0.743773877620697,0.5555555555555556,0.5555555555555556
830,Jacob Volkmann,Bobby Green,0,0.998247504234314,0.998247504234314,0.8113207547169812,0.8113207547169812
831,Josh Thomson,Bobby Green,0,0.9994298815727234,0.9994298815727234,0.7916666666666665,0.7916666666666665
835,Anthony Njokuani,Vinc Pichel,0,0.963899791240692,0.963899791240692,0.7222222222222221,0.7222222222222221
838,Justin Scoggins,Dustin Ortiz,0,0.9976341724395752,0.9976341724395752,0.7435897435897436,0.7435897435897436
847,Duane Ludwig,Darren Elkins,0,0.6463047862052917,0.6463047862052917,0.6078431372549019,0.6078431372549019
852,John Makdessi,Dennis Hallman,0,0.9266581535339355,0.9266581535339355,0.6031746031746031,0.6031746031746031
855,Sam Stout,John Makdessi,0,0.6502922773361206,0.6502922773361206,0.6666666666666665,0.6666666666666665
860,Felice Herrig,Justine Kish,1,0.015093752183020115,0.98490624781698,0.4166666666666667,0.5833333333333333
869,Dongi Yang,Jake Collier,1,2.282775676576421e-05,0.9999771722432342,0.4878048780487805,0.5121951219512195
872,Vitor Miranda,Jake Collier,1,2.903777884810665e-09,0.999999997096222,0.37735849056603776,0.6226415094339622
874,Shinsho Anzai,Luke Jumeau,1,0.38566708564758295,0.614332914352417,0.31746031746031744,0.6825396825396826
878,Thibault Gouti,Andrew Holbrook,1,2.5921121050487272e-05,0.9999740788789496,0.3921568627450981,0.6078431372549019
885,Robbie Lawler,Rory MacDonald,1,0.010539742186665537,0.9894602578133344,0.4081632653061225,0.5918367346938775
886,Rory MacDonald,Robbie Lawler,0,0.9410645365715028,0.9410645365715028,0.8039215686274509,0.8039215686274509
898,Tim Boetsch,Costas Philippou,0,0.64995276927948,0.64995276927948,0.5918367346938775,0.5918367346938775
908,Leandro Issa,Russell Doane,0,0.9592618942260742,0.9592618942260742,0.5454545454545454,0.5454545454545454
910,Brock Lesnar,Mark Hunt,1,0.015674151480197906,0.984325848519802,0.4166666666666667,0.5833333333333333
921,Trevor Smith,Joe Gigliotti,1,0.4925676286220551,0.5074323713779451,0.4761904761904761,0.523809523809524
939,Julie Kedzie,Bethe Correia,0,0.9700233936309814,0.9700233936309814,0.6296296296296297,0.6296296296296297
940,Carlos Condit,Johny Hendricks,0,0.9073068499565125,0.9073068499565125,0.5348837209302325,0.5348837209302325
