name,accuracy,correct,fault,status
Nathan Coy,0.5,1,1,QUESTIONABLE
Lauren Murphy,1.0,4,0,GOOD
Tarec Saffiedine,0.6,3,2,QUESTIONABLE
Rafael Natal,0.6153846153846154,8,5,QUESTIONABLE
Damon Jackson,0.6666666666666666,2,1,QUESTIONABLE
Patrick Cote,0.631578947368421,12,7,QUESTIONABLE
Albert Tumenov,1.0,7,0,GOOD
Abel Trujillo,0.5,4,4,QUESTIONABLE
Michael McDonald,0.5714285714285714,4,3,QUESTIONABLE
Michinori Tanaka,0.6,3,2,QUESTIONABLE
Sheldon Westcott,1.0,3,0,GOOD
Tamdan McCrory,0.42857142857142855,3,4,QUESTIONABLE
Cole Miller,0.6153846153846154,8,5,QUESTIONABLE
Tatsuya Kawajiri,0.6666666666666666,4,2,QUESTIONABLE
Benson Henderson,0.7692307692307693,10,3,GOOD
Dongi Yang,0.4,2,3,QUESTIONABLE
Mike de la Torre,0.8333333333333334,5,1,GOOD
Tae Hyun Bang,0.6,3,2,QUESTIONABLE
Seohee Ham,1.0,4,0,GOOD
Marco Beltran,0.6,3,2,QUESTIONABLE
Dominique Steele,1.0,3,0,GOOD
Kyle Noke,0.4,4,6,QUESTIONABLE
Danny Martinez,0.75,3,1,GOOD
Ben Nguyen,1.0,5,0,GOOD
Johnny Case,0.5,3,3,QUESTIONABLE
Thiago Tavares,0.6428571428571429,9,5,QUESTIONABLE
Viscardi Andrade,0.6666666666666666,2,1,QUESTIONABLE
Neil Seery,0.8571428571428571,6,1,GOOD
Ruslan Magomedov,1.0,3,0,GOOD
Adriano Martins,0.5,3,3,QUESTIONABLE
Frankie Saenz,0.8571428571428571,6,1,GOOD
Antonio Silva,0.1,1,9,QUESTIONABLE
Vitor Miranda,0.6666666666666666,4,2,QUESTIONABLE
Guido Cannetti,0.3333333333333333,1,2,QUESTIONABLE
Paddy Holohan,0.25,1,3,QUESTIONABLE
Mickael Lebout,0.6666666666666666,2,1,QUESTIONABLE
Rob Whiteford,0.8,4,1,GOOD
Manvel Gamburyan,0.6153846153846154,8,5,QUESTIONABLE
Sam Sicilia,0.75,9,3,GOOD
Maximo Blanco,0.625,5,3,QUESTIONABLE
Josh Samman,0.5,2,2,QUESTIONABLE
Jerrod Sanders,0.25,1,3,QUESTIONABLE
George Sullivan,0.42857142857142855,3,4,QUESTIONABLE
Willie Gates,0.75,3,1,GOOD
John Howard,0.5833333333333334,7,5,QUESTIONABLE
Hacran Dias,0.5,4,4,QUESTIONABLE
Leandro Silva,0.2,1,4,QUESTIONABLE
Tony Sims,1.0,2,0,GOOD
Sirwan Kakai,0.5,1,1,QUESTIONABLE
Noad Lahat,0.6666666666666666,2,1,QUESTIONABLE
Patrick Williams,0.6666666666666666,2,1,QUESTIONABLE
Cathal Pendred,0.6666666666666666,2,1,QUESTIONABLE
Anthony Birchak,0.5,1,1,QUESTIONABLE
Shawn Jordan,0.875,7,1,GOOD
Joe Proctor,0.6666666666666666,4,2,QUESTIONABLE
