red,blue,actual,ai,ai_err,bookies,bookies_err
Francisco Trinaldo,Akbarh Arreola,1,0.06788571178913116,0.9321142882108688,0.6666666666666665,0.3333333333333335
Francisco Trinaldo,Bobby Green,1,0.0001492910523666069,0.9998507089476334,0.6078431372549019,0.3921568627450981
Francisco Trinaldo,Jim Miller,1,5.796922941669891e-09,0.9999999942030771,0.6875,0.3125
Francisco Trinaldo,Paul Felder,1,0.003443399677053094,0.9965566003229469,0.6078431372549019,0.3921568627450981
Francisco Trinaldo,Piotr Hallmann,0,0.0007455549202859402,0.0007455549202859402,0.7560975609756098,0.7560975609756098
Francisco Trinaldo,Yancy Medeiros,1,0.014129891991615295,0.9858701080083847,0.7333333333333333,0.2666666666666667
Douglas Silva de Andrade,Cody Gibson,1,0.023963768035173416,0.9760362319648266,0.3076923076923077,0.6923076923076923
Douglas Silva de Andrade,Marlon Vera,1,0.03922508656978607,0.9607749134302139,0.37735849056603776,0.6226415094339622
Douglas Silva de Andrade,Renan Barao,1,0.04523048922419548,0.9547695107758045,0.701492537313433,0.298507462686567
Douglas Silva de Andrade,Zubaira Tukhugov,0,0.0011849005240947008,0.0011849005240947008,0.5121951219512195,0.5121951219512195
Rob Font,Douglas Silva de Andrade,1,0.9922853708267212,0.007714629173278809,0.726027397260274,0.273972602739726
Zabit Magomedsharipov,Brandon Davis,1,3.2846505746420007e-06,0.9999967153494254,0.9322033898305084,0.06779661016949157
Zabit Magomedsharipov,Calvin Kattar,1,0.6125147938728333,0.38748520612716675,0.7333333333333333,0.2666666666666667
Zabit Magomedsharipov,Kyle Bochniak,1,0.0043523674830794334,0.9956476325169206,0.875,0.125
Zabit Magomedsharipov,Sheymon Moraes,1,2.5433812425035285e-06,0.9999974566187575,0.8333333333333335,0.16666666666666652
Alexander Volkov,Roy Nelson,1,0.9999396800994873,6.031990051269531e-05,0.6078431372549019,0.3921568627450981
Alexander Volkov,Stefan Struve,1,0.8833823800086975,0.11661761999130249,0.5652173913043478,0.4347826086956522
Derrick Lewis,Alexander Volkov,1,2.2834070477983914e-05,0.999977165929522,0.425531914893617,0.574468085106383
Ed Herman,Thales Leites,0,0.5564125776290894,0.5564125776290894,0.37735849056603776,0.37735849056603776
Gian Villante,Ed Herman,1,0.7266494035720825,0.2733505964279175,0.701492537313433,0.298507462686567
Nikita Krylov,Ed Herman,1,0.9550243020057678,0.04497569799423218,0.7058823529411765,0.2941176470588235
Magomed Ankalaev,Dalcha Lungiambula,1,0.9996569156646729,0.00034308433532714844,0.7674418604651163,0.2325581395348837
Magomed Ankalaev,Klidson Abreu,1,0.9998524188995361,0.0001475811004638672,0.6774193548387096,0.32258064516129037
Paul Craig,Magomed Ankalaev,1,0.934695839881897,0.06530416011810303,0.15384615384615385,0.8461538461538461
Jorge Masvidal,Rustam Khabilov,0,0.7625786066055298,0.7625786066055298,0.4444444444444444,0.4444444444444444
Rustam Khabilov,Chris Wade,1,0.5068936944007874,0.49310630559921265,0.6226415094339622,0.37735849056603776
Rustam Khabilov,Desmond Green,1,0.9936122298240662,0.006387770175933838,0.7142857142857143,0.2857142857142857
Rustam Khabilov,Kajan Johnson,1,0.38791996240615845,0.6120800375938416,0.8936170212765957,0.1063829787234043
Rustam Khabilov,Leandro Silva,1,0.7362480163574219,0.2637519836425781,0.8181818181818182,0.18181818181818177
Rustam Khabilov,Sergey Khandozhko,1,0.41472846269607544,0.5852715373039246,0.7101449275362319,0.28985507246376807
Vinc Pichel,Rustam Khabilov,0,0.9672166109085083,0.9672166109085083,0.2777777777777778,0.2777777777777778
Benson Henderson,Jorge Masvidal,1,0.2634233236312866,0.7365766763687134,0.696969696969697,0.303030303030303
Daron Cruickshank,Jorge Masvidal,0,0.10122954845428467,0.10122954845428467,0.31746031746031744,0.31746031746031744
Demian Maia,Jorge Masvidal,1,0.0008417665958404541,0.9991582334041595,0.5348837209302325,0.4651162790697675
Jorge Masvidal,Cezar Ferreira,1,0.3612186908721924,0.6387813091278076,0.6666666666666665,0.3333333333333335
Jorge Masvidal,Nate Diaz,1,0.9751385450363159,0.024861454963684082,0.6078431372549019,0.3921568627450981
Jorge Masvidal,Rustam Khabilov,0,0.6118758320808411,0.6118758320808411,0.4444444444444444,0.4444444444444444
Michael Chiesa,Jorge Masvidal,0,0.11112561821937561,0.11112561821937561,0.28169014084507044,0.28169014084507044
Stephen Thompson,Jorge Masvidal,1,0.4948086738586426,0.5051913261413574,0.6551724137931035,0.34482758620689646
Tim Means,Jorge Masvidal,0,0.366918683052063,0.366918683052063,0.5,0.5
Darren Till,Bojan Velickovic,1,4.5181417362982756e-07,0.9999995481858264,0.6551724137931035,0.34482758620689646
Darren Till,Jessin Ayari,1,0.0004645100561901927,0.9995354899438098,0.7333333333333333,0.2666666666666667
Tyron Woodley,Darren Till,1,0.9973859190940857,0.0026140809059143066,0.5121951219512195,0.4878048780487805
Chris Clements,Stephen Thompson,0,0.36933186650276184,0.36933186650276184,0.20833333333333334,0.20833333333333334
Patrick Cote,Stephen Thompson,0,0.03824584186077118,0.03824584186077118,0.2272727272727273,0.2272727272727273
Robert Whittaker,Stephen Thompson,0,0.7879274487495422,0.7879274487495422,0.4545454545454545,0.4545454545454545
Stephen Thompson,Jorge Masvidal,1,0.5071105360984802,0.4928894639015198,0.6551724137931035,0.34482758620689646
Stephen Thompson,Vicente Luque,1,0.9947435855865479,0.0052564144134521484,0.5348837209302325,0.4651162790697675
Tyron Woodley_0,Stephen Thompson_0,1,0.7870296239852905,0.21297037601470947,0.4545454545454545,0.5454545454545455
Tyron Woodley_1,Stephen Thompson_1,1,0.7870296835899353,0.2129703164100647,0.3846153846153847,0.6153846153846153
Daniel Cormier,Derrick Lewis,1,0.9851298332214355,0.014870166778564453,0.7916666666666665,0.20833333333333348
Derrick Lewis,Alexander Volkov,1,0.010221213102340698,0.9897787868976593,0.425531914893617,0.574468085106383
Derrick Lewis,Blagoy Ivanov,1,0.10841146111488342,0.8915885388851166,0.5348837209302325,0.4651162790697675
Derrick Lewis,Gabriel Gonzaga,1,0.014291495084762573,0.9857085049152374,0.6,0.4
Derrick Lewis,Ruan Potts,1,0.8765950798988342,0.12340492010116577,0.8757763975155279,0.12422360248447206
Derrick Lewis,Shamil Abdurakhimov,1,0.12178537249565125,0.8782146275043488,0.7142857142857143,0.2857142857142857
Derrick Lewis,Viktor Pesta,1,0.06427279114723206,0.9357272088527679,0.4,0.6
Shawn Jordan,Derrick Lewis,1,0.0006075501441955566,0.9993924498558044,0.5348837209302325,0.4651162790697675
Corey Anderson,Jan Blachowicz,1,0.7096197009086609,0.2903802990913391,0.701492537313433,0.298507462686567
Corey Anderson,Johnny Walker,1,0.45231330394744873,0.5476866960525513,0.3921568627450981,0.6078431372549019
Corey Anderson,Justin Jones,1,0.9998959302902222,0.00010406970977783203,0.8333333333333335,0.16666666666666652
Corey Anderson,Patrick Cummins,1,0.8453591465950012,0.15464085340499878,0.6226415094339622,0.37735849056603776
Corey Anderson,Sean O'Connell,1,0.9994542002677917,0.000545799732208252,0.8,0.19999999999999996
Corey Anderson,Tom Lawlor,1,0.0684094950556755,0.9315905049443245,0.7142857142857143,0.2857142857142857
Ovince Saint Preux,Corey Anderson,1,1.0698730648073251e-06,0.9999989301269352,0.6363636363636364,0.36363636363636365
Edmen Shahbazyan,Jack Marshman,1,0.385667085647583,0.614332914352417,0.8507462686567164,0.14925373134328357
Katlyn Chookagian,Irene Aldana,1,0.9768388867378235,0.023161113262176514,0.5744680851063829,0.4255319148936171
Katlyn Chookagian,Jennifer Maia,1,0.8173723220825195,0.18262767791748047,0.5744680851063829,0.4255319148936171
Katlyn Chookagian,Joanne Calderwood,1,0.7761304974555969,0.22386950254440308,0.5121951219512195,0.4878048780487805
Liz Carmouche,Katlyn Chookagian,1,0.5385451316833496,0.4614548683166504,0.4081632653061225,0.5918367346938775
Demian Maia,Lyman Good,1,0.7785324454307556,0.22146755456924438,0.6666666666666665,0.3333333333333335
Lyman Good,Ben Saunders,1,0.9631540179252625,0.03684598207473755,0.8630136986301371,0.1369863013698629
Lyman Good,Chance Rencountre,1,0.9895414710044861,0.010458528995513916,0.5348837209302325,0.4651162790697675
Danny Henry,Hakeem Dawodu,1,0.9994468092918396,0.0005531907081604004,0.29411764705882354,0.7058823529411764
Hakeem Dawodu,Austin Arnett,1,0.10574191063642502,0.894258089363575,0.8245614035087719,0.17543859649122806
Hakeem Dawodu,Kyle Bochniak,1,0.9096956849098206,0.09030431509017944,0.6666666666666665,0.3333333333333335
Alan Patrick,Stevie Ray,1,0.8346567749977112,0.16534322500228882,0.4081632653061225,0.5918367346938775
Stevie Ray,Jessin Ayari,1,0.43100637197494507,0.5689936280250549,0.6153846153846154,0.3846153846153846
Stevie Ray,Leonardo Mafra,1,0.9908294677734375,0.0091705322265625,0.6923076923076923,0.3076923076923077
Stevie Ray,Mickael Lebout,1,0.7297305464744568,0.2702694535255432,0.8461538461538461,0.15384615384615385
